id,txt
100,kam2-kong2-si7 tsiunn7-e5 mo1-pue1 ，
101,bok8-tsing5 tsik4-si5 piann3-san2 ，
102,siong3-kuan2 siong5-sik4 tshit4-kip8 ，
103,bu2-lai5-iu2 e5 nng2-the2 kho1-giap8 ，
104,e7-sai2 khing1-i7 tuat8-e5 tsit8-mia7 。
105,e7-ti7-ham2 tai5-uan5 sing1-giap8 。
106,tsap8-it4-gueh8 lau5-tsing3 kok4-un5 ，
107,pi7-iong3 sing3-tiam2 pang5-khuan2-mi5 ，
108,tsin1-khu2-ioh8 huan3-be7 ka2-pai5 ，
109,tai5-pak4-tshi7 gi7-uan5 tsong1-hiong5 ，
110,thinn1-khi3 ling2-khip8-puan2-tioh8 ，
111,ku7-ni5-e5 tsap8-gueh8 ，
112,long5-bin5-khi3 tsuan5-poo7-tua7-khe1 ，
113,pi7 ku7-suann1-ti5 tua3-a2 siu1-tsi2 ，
114,pian3-tsong1 lai5-kau3 mng5-khong3 。
115,tai5-phai3 thuan5-ki2 lut8-kong1-ting2 ，
116,tsing5-uan2 jin5-tsui2-e7-siong5 ！
117,sit8-tsai7-si7 in1-ui7 ping5-kau3-bo5 ！
118,kiat4-ko2 i1-e5 king3-siong7 tsu7-nia2 ，
119,tsiah4-e7 tsing3-ka1 tsing3-i3-guan7 。
120,sam1-lip8-sin1-bun5-tai5
121,siang7-su1-iau3 e5 su2-tsing3-bi2 ，
122,pau1-tsong1 long2-si7 tiong1-kan2-ji7 。
123,kiu3-uan7 hing5-tong7 ko3-tsit8-loh8 ，
124,u7 giap8-tsia2 ka7-siong5-kho2-siang5 ，
125,phian1-phian1 kong2-huat4 tsit8-tui1 ，
126,pang7-kiu5 pi7-tshing1-tso3-kiu5 ，
127,iau1-kiu5 sim1-thang5 sui5-thing5 。
128,kai2-tso3 「 ki3-liam7-ki3-liam7 」 ，
129,i2-king1 tiau3-uat8 tsuan5-lik8 ti1 。
130,am3-si5 lak8-tiam2-gua7 hue2-sio1 ，
131,hue2-si3 kiong3-hun1-au7 khong3-tse3 ，
132,sam1-lip8-sin1-bun5-tai5
133,tsit4-kinn2-e5 tian7-tong7-tshia1 ，
134,tan7-si7 kiu3-hoo7-gai7 i5-kui1 ，
135,sam1-lip8-sin1-bun5-tai5
136,hoo7-tit4 jin5-tshim3-boo5 tsit8-ni5 ，
137,ian5-kue1 sia7-kng3 kng3-sam1-tiah8 ，
138,ki5-jip8 jin5-tshu3-si7 lam5-han5 ，
139,tann3-hong1-loo7 si7-tiam2 sann1-li2 ，
140,iu5-tsinn5-tioh8 sim1-tsu7-a2-khiang1
141,tai5-tang1 be7-tshai3 a1-ma2-khuan2 ，
142,kui1-tai5-tshia1 si3-ling2-thian1 ，
143,tsit4-si7 ping5-ki2 hiang1-bing5-si7 。
144,u7-nng7 tsiah4-pinn5-tsiah4 ，
145,tsap8-it4 hue3-iong5 e5 siang3-khu2 ，
146,lip8-me5-au7 lui5-kong1 po2-thing5 ，
147,kiann5-kau3 phian1-am3 hang7-a2 ，
148,sam1-lip8-sin1-bun5-tai5
149,lak8-gueh8 lak8-ho7-e7 tsiann1-u7 ，
150,tso7-sing5 tong1-si5 tu2-pian7-mia5 ，
151,huat4-sing1 hue2-sio1-ki1-gua7 ，
152,lian5-sian5 ti7-su1-ling7 poo7-ki2-tsing
153,king2-hong1 tsiong1-e5 kiu3-tshut4-si5 ，
154,ting3-bue2 jin5-tsan3-e5 lai7-tse2 ，
155,am7-a2-kun2 pi7-sing1-kho3 thui1-ho5 ，
156,bak8-tsiong2 siann3-tso3 e5 jio7-tsing3 
157,tsu7-iu5-si5-po3-po3-to7
158,tshia1-ho7 huat4-sing1-tai5 si5-peh4 ，
159,suah4 king5-pa3 pa3-iu2-ngi5 pang5-ki2 ，
160,tshing3-ka1 i1 ping5-suann7-huat4 ，
161,siann3-te2 huat4-e5 huann5-gi5 kai2 ，
162,tai5-tang1 tsit4-ma2 gin2-bah4 khi2-kahi
163,tshong3-ha7 ji7-tsap8-koo3 i2-kuan5 。
164,sui1-jian5 ti7 kuan3-a1 pi2-sai3 ，
165,sing1-kuan2 tang5-siong7 ke3-siok8 ，
166,m7-koh4 ko1-piann2-e5 siang5-pau1 、
167,tsit4-ping5 sua1-hua1 phu5-poo1-hian7 ，
168,ka1-tsui2-tsam7 koh4-tshiat4-iok4 。
169,kam2-kak4 tsin1-m7-kam1-tit4 ，
170,kiong2-tshia1-pi3 tsun3-ni5-tsing1 ，
171,tui3 kiann5-penn1-pinn1-e5 hinn3-kak4 ，
172,si3-pah4 si3-tsap8-phit4 tse7-hong3 ，
173,i1 li7-iong7 tong1-te7 sio2-huan7 ，
174,siong7-tshut4 pan2-to2-tiong1-kok4 ，
175,tsing5-tai7-pak4-sin1 kian3-tng5-hun1 ，
176,ui7-ti7 huat4-sing1 po2-tai5-sa1-tshiu2 
177,ki5-tiong1 u7 lak8-sing5 pin3-ni5 ，
178,bin5-si7-sin1-bun5-po3-to7
179,bin5-si7-sin1-bun5-po3-to7
180,sim7-tsi3 ti7 khong3-iau2 e5 piau2-bake7
181,ti7 ji7-tsap8-ho7-kong1-e5 tshing3-an5 ，
182,him1-siong2 am3-poo1 e5 si5-tso3-jit8 ，
183,tsit8-ng5 tsit8-ang5 ping5-an1-tsiok4 ，
184,tai5-tiong1-tng5 sing7-huan2 e5 tshi2-ph
185,bin5-si7-sin1-bun5-po3-to7
186,mui2-ni5 long2-e7 khang3-kuan1 e5 guau5 
187,li2-sin1-se3 tsit8-ping7 to1-kau3-hong1 
188,tsi3-i5 sia7-khu1 pi7-lik8-ai3-mng7 ，
189,ti7 kin1-tsoh8-e5 pi7-hang5-gueh8 ，
190,san2-ti7 san2-kip4 kap4 tshu2-ng5 ，
191,sui1-jian5 khai1-liau2 be7-tsinn5-mi2 ，
192,tsu7-an2-ne1 bi2-hik4 tshing3-ping5 。
193,tai5-uan5-e5 po2-kik8 kang1-tso3 ，
194,tso1-khui1 phah4-tsing3-hi2-tan5-un5 ，
195,tshik4-a2 pi7-san2 siang7-tsuan5-ki1 ，
196,si3-tsap8 ping5-kang1 tsa1-goo7-kim1 ，
197,kin1-ni5 tong5-ki5 sim1-thau5-king1 ，
198,tsiong1-hua3 ki1-poo7 hu3-tsiu1-kong2 ，
199,beh4-ua2 lak8-tsap8-ji7-tsi1 ，
200,khui1-tshia1 kah4 tsiam1-bin7 tui3-be7 ，
201,put4-tuan7 ti7 bin5-tsai2-iu5-sueh4 ，
202,khong1-kun1-su1-ling7 lui5-tshiu7-li2 ，
203,tse7-tshia1 hoo7 tshia1-ka1-pan1-tiu5 ，
204,bin5-si7-sin1-bun5-po3-to7
205,ki5-tiong1 iau2-u7 sing3-han2-kip4 ，
206,tsian5-ong2 tian5-kham2-tiong3 kap4-tsa1
207,bin5-si7-sin1-bun5-po3-to7
208,ki3-tsia2 king2-hong3 the7-giam7 ，
209,siong3-tshim1-ia5 lau7-tit4-siau1 ，
210,tsing3-tui2 kin1-ni5 sio1-tam7-ki5 ，
211,khia7-ke1 iau3-san3 pi7-tng7-tian7 ，
212,khah4 hoo7-lang5 tam1-sim1-e5-si7 ，
213,phenn5-oo5 hai2-pin5-a2 siu5-kau7 ，
214,tsiah4-e7 tso3-tiunn2-e5 kang3-su2 ，
215,m7-koh4 a1-hiong1 khip4-kue3 pian1-sin1 
216,li2-tsu2 ko1-ni2-hu1 siang7-kai3 e5 ，
217,tui1-su1 ji7-ji7-phok4 ma2-ing1-bin7 ，
218,si5-kan1 iau2-bue7 tshing3-ping5-tshui3 
219,ti7 kun1-hong1 hue2-phau3-sia7 liau2 ，
220,bi7-lai5 na7-tsun2 ting3-be7-phio3 ，
221,tsit4-pe2 hue2-sio1-tiong5 gui5-ti7 ；
222,sui1-jian5 ki1-tai5 siat4-pi7 ，
223,khak4-sit8 be7-sai2 bo5-tshui3-mia5 。
224,tshua3-ing1-bun5 suan1-kiong7-e5 po3 ，
225,kuan3-kuan3 tsing3-tse2-siu2-king5 ，
226,ki2-hing5 lip8-ui2 siong7-tshing5-tai7 ，
227,ling7-gua7 iau2-u7 siong5-thian1-kio5 ，
228,tsap8-lak8-ni5 tsiu1-lang5-tian7-ui5 ，
229,tiam3-thau5 tshiong1-e5 kui2-siann5 ，
230,iau1-kiu5 「 hak8-sing1 ah8-huat8 ，
231,tsit4-ma2 ing3-kai1 tai7-phing5-io1 ，
232,poo1-li2 tin3-sioh8 un7-ping7-hong1 ，
233,si7 kuan1-tshi2 tui3-giam5-siann1 ，
234,u7-tsit8-kua2 、 tsing3-ham2 tsiah8-tong5
235,tso3 uann7-bi7-kai2 tiong5-sio2-an5 ，
236,tsap8-lak8-ho7 khai1-pi2 「 bun5-he3 ，
237,lang5-kheh4 ma7 tue3-lak4-puann1 ，
238,sing1-kuan2 hue5-siong1-tong3 ke3 ，
239,soo2-kong2-e5 i2-phang3-i2-ui5 ，
240,put4-ko3 tsiann5-ui2-ki1 e5 tsing5-hiong
241,tsa3-ioh8 kang1-tiunn5 ping5-bin7 ，
242,bin5-si7-sin1-bun5-po3-to7
243,m7-koh4 ping5-ting2 tsia1-e5 tsia1-ji7 ，
244,beh4-iong7 tsing3-but4 tui3-ku1-hok4 ，
245,sui1-jian5 pinn1-a2 e5 hu7-khuann3-i1 ，
246,koh4-an3-tsiann3 「 ka1-siong7 」 huat4 ，
247,tai7-iok4 ling5-sann1-khong1-kak4 ，
248,sun2-sit4 ma7 phainn2-koo2-ke3 。
249,siong1-thu5-ting5-kian3 li7-tshiau2 ，
250,tsit4-tah4-e5 hi5-bo5-bun7-te5 。
251,hau7-hong1 huai5-gi5 bun7-kho2-ti7 。
252,i1 bo5-i3-gua7 ho7-tshia1-e5 sun5 。
253,in1-ui7 kah4 tsing3-hong2 kiam2-kai2 ，
254,goo7-gueh8 tsap8-peh4-siann1 tua7-hue2 ，
255,sann1-mia5 kiu3-guan5-ho2 hik8-kiu3 ，
256,khia5-ki1-tshia1 ti7 tshia1-loo7-ting2 ，
257,ti7 tik4-kho1-kang1-tsok4 thiu1-sik8 ，
258,tsit4-mia5 te7-i3 lai5-e5 sim7-kuan2 ，
259,gi5-su7 tu2-tioh8 niau2-tshing1-kun2 ，
260,sang3-i1-au7 long2-ki2 bo5-tua7-gai7 。
261,to1-ti7 i1 tshia1-loo7-e5 kui2-liau2 ，
262,ji7-tshi7-pang5 tsa1-boo2 kho2-him1 ，
263,kiong5-tiau7 the3-liau2 to1-kui1-hing5 ，
264,ka7 kiau7-tshia1 sua2-khui1 。
265,iunn5-ka1-tsiong2 kuan1-siong7-hi5 ，
266,tshin1-kuan2 tso3-koo2 kim1-nia5-jiat8 ，
267,bin5-si7-sin1-bun5-po3-to7
268,tshit4-tsap8-hue3 e5 tsiah4-thai3-kiu2 ，
269,lak8-gueh8-tiong1 tsiah4-kue3-to1 ，
270,tan5-bun5-sing5-pue3-king2 ping5-ah4 ，
271,ma2-siang7 po2-gim7-bi2-e5 khi3-too7 ，
272,bin5-si7-sin1-bun5-po3-to7
273,sui1-jian5 i1 pe7-king1 ka1-tau5-an3 ，
274,tsham1-jip8 png7-tshai3 liang2-sing5 ，
275,tui3 bo5-tai5 sio2-tsia2 tsiap4-kue3 ，
276,li2-tsu2 tsing3-hue7 tshue7-hu3 ，
277,siang7-bue2 tiong1-hiong1 tsiu7-bin5 ，
278,na7-tsun2 beh4-pi7-sian2 tshu3-tioh8 ，
279,bi2-hun2 thng1-thau5-e5 phang1-tak4 ，
280,khak4-ting7-si7 gi7-pan2 e5 pan2-ling5 ，
281,kam2-kak4 pi7-khi2-e5 hui1-siong5-song2 
282,su7-au7 tshue7-bo5-tioh8 tshing3 ，
283,ma7-si7 i2-ki1 ui5-ing5 。
284,ue7-khing3-kuan3 sing5-kun1 ，
285,tok8-tsu7 tsi2-kau3 pe7-tshi2-hue7 ，
286,tse3-tso3 pai3-uan5 bin5-tsah4-tng2 ，
287,pin5-iau2-loh4 piang5-khu2 tsang3-leh4 ，
288,suah4-bue2 suah4-ai3-pian2-tshiu2 ，
289,hu7-tshin1-tsiat4 tng1-kang1 ，
290,bin5-si7-sin1-bun5-po3-to7
291,sin1-khu1 pi7-giam7-e5 sio2-ka7-ho5 ，
292,m7-koh4 tshut4-pau1 e5 tsiap4-un7 ，
293,m7-koh4 sing1-ui7 iau2-si7 put4-khai1 。
294,tsi3-tsio2-u7 tsap8-i5-e5 mia5-tshiu2 。
295,hiam5-huan7 ting1-kho3-liau2-au7 ，
296,hong1-thai1 kuan5-kau3 tsap8-iong5 ，
297,tai5-phai2 tsiah4-ping3-khi2-lo7 ，
298,to1-e7 koh4-tit8-koh4-tng5 ，
299,sing1-kuan5-ti7 tshing3-e5 ng5-loh8 ，
300,tai5-uan5-e5 lik8-ling5-kho1-lik8 ，
301,m7-koh4 mui2-pai2 long2-siau7 pi7-ni5 ，
302,ma7-in1-ui7 be7-ko1 pian3-hang1 ，
303,sio2-ti7 liong7-i1 hiann2-be5-in1 ，
304,bin5-si7-sin1-bun5-po3-to7
305,uann7-sin7 li2-tshiu2 e5 nng7-pai2 ，
306,an3-tsiunn7 pian3-tshing5-e5 ki1-kiannnn
307,thang1-kong2-si7 pho3-liau2 siong3-u7 。
308,au7-lai5 hau7-hong1 tsa1-tshut4 ，
309,m7-koh4 suah4-u7 gi7-tsiam5 gi7-gi5 ，
310,pang5-tshu2-mia5 sik4-kho2-sin1-khin1 ，
311,ui7-tioh8 tau3-sann1-kian7 so2-khah4 ，
312,ping5-kuan2 in1-ui7 huat4-siong5-poo7 ，
313,king2-pai3 tshiu7-bue7 i2-king1 ，
314,lai5-khuann3 sian1-kiu5-sing5-pi2-hik4 ，
315,m7-na7 kho2-giam7-tioh8 kuann1-ui7 ，
316,kui1-e5 sun2-kin2 tshiau1-kue3-sing5 ，
317,tsit4 lai7-bin7 kok4-tse3 ti1-phin2 ，
318,tsit4-kiann7 kap4 po3-sang5-tsoo2-kiannn
319,kiat4-tsi2-lui2 e5 tshenn1-phuan5 ，
320,tsah4-tioh8 tua7-pau1-se3-hing5 ，
321,kong1-si1 tsu7-koo2 i2-lau7 kam2-lam2 ，
322,kan1-na1 ling5-tshenn1-e5 tsiah8-po7 ，
323,tsit4-ma2 bo5-lun7 kau2 si7-kian7 ，
324,pau1-kuat4 tai5-uan5-ki2 ng7-a2 lang5 。
325,su7-sian1 bo5 sin1-tshiunn2 pah4-tiu5 ，
326,tong7-po2 i2-king1 kui1-ti2 suan3-li2 ，
327,ti3-su2 tai5-uan5 tsiap4-hioh8 be7-sing5
328,tsit4-king2-sin5 ke1-pi2 uah8-tang7 ，
329,tsiann1-ua2 tsin3-hing5 hai2-te7 ，
330,thinn1-ting2 hun5-san3-jit8-tshut4 ，
331,sim7-tsi3 tsian3-hui5 luan7-kiat4 ，
332,gi5-tsuan2 kue2-tsi2 tioh8-si7 kin1 。
333,koo2-ke3 nng7-khong1-e5 tshiunn5-ka1 ，
334,tsit4-m7-si7 king2-tshat4-ti7-kang3 ，
335,ti7 san2-ham5 ke3-siau3 bun7-ti5-ha7 ，
336,poo7-tui7 tsun2-pi7 e5 tsa2-tng3 ，
337,pai3-jit8 ti7 i1-tsoo2 e5 ka1-lai5 。
338,giap8-tsia2 kai2-sueh4 tsiat4-kok4 ，
339,ng5-siok4-e5 gu5-tsua2 ting2-pan7 ，
340,si1-a2 phong5-i7 siau3-lian5 tsi1-ha7 ，
341,hiann1-tsi3 phian1-mng5 hak8-sing1-hok8 
342,gin2-a2 kiu3-phong5 mih8-kiann7 ，
343,he1-si5-tsun7 ngoo1-hap8 tsa2-pai7 。
344,pun2-sin1 sing3-tshu2 thong1-tsip4 。
345,suan2-tshut4 u7-tshiu2-e5 ping5-hui5 。
346,tsing5-phi2 hong1-phang1-tshua1-hoo1 ，
347,am3-si5 peh4-gua7 liok8-tsiap4-hap8 。
348,m7-koh4 tong7-but8 tsian1-huan5 piau2 ，
349,lui2-tsinn5 giah8-sue3 nng7-ik4 。
350,in1 bo5-si5-kue3 siang3-pah4 tsin1-moo7 
351,senn1-lik8-e5 kiann3-hap8 tsi1-kan1 ，
352,tue3-bue2 tsing3-khan2 bi7-ni5-lai7 ，
353,e7-sai2 hng7-tsi2 e5 sio2-thi5-si1 。
354,kin1-ni5-e5 ko1-hiong5-tsia2 ，
355,tsa1-boo2 tih4-beh4 kiat4-phue3-kim1 ，
356,tsit4-ma2 su1-iau3 khai1-tsit8-tsinn5 。
357,tshing7-tioh8 kam1-a2 gua7-ho3 thai1-po7
358,sio2-kuann1 kap4 tsai7-poo7 ng5-leh4 ，
359,tsing3-khi2 king2-hong3 ka1-tshui2 ，
360,sann1-ho7 tsa2-khi2 ko1-hiong5-si5 ，
361,tsit8-pai5-i2-king1 pho3-tian7-i2 。
362,mua2-toh4 e5 bun5-tshong3 san2-phin2 ，
363,pi7-bian2 tso7-sing5-e5 siong1-khok4 ，
364,tai7-poo7-hun7 i2-king1 kai2-te3 ，
365,hoo7 ka1-siok8 siam2-be7 tshing1-hu3 。
366,tshiann1-ui7 oo1-iu5 sing1-thun3 。
367,kun7-ki7 kam2-siu7 e5 guan5-tai5-sui2 ，
368,siong7-bue2 khui1-pong7-e5 pong7-tsi2 ，
369,huat4-guan5 hong1-bin7 siu1-ki3 。
370,hoo7 siunn7-bueh4 pue1-e5 lu2-iong5 。
371,sang3-ti7-si7 tsiap8-phian3-tsu2-iong7 。
372,tsuan5-a3-sio1 siang7-tsuan5-gian2 ，
373,tsit4-si7 tsuan5-jit8-e5 tsiann1-hu7 ，
374,ti7 tong5-giap8 kui2-siau7 phing5-ke2 ，
375,tsing1-tho2 tsun2-pi7 guan5-puan2 e5 ，
376,sit8-tse3-tuann1 ke3-tshiu2 e5 ping5 ，
377,au7-lai5 sui1-jian5-tit4 hu3-huan7 ，
378,guan5-lai5 senn3-tsng1 tsa1-pi7-sit4 ，
379,hiong3 lip8-ui2 tin5-tau5-kang1-tng5 ，
380,kuann1-tsong7-pio2 ma7-tng2-tso3 。
381,ka1-tsai3 lok8-tsui2 ma7-si7 tsiu1-ki1 ，
382,bok8-tsing5 tiann1-kam3 soo2-lim5-a1 ，
383,tsit4-ma2 thuan5-ki2 e5 tsiah4-si7 ，
384,khi2-ke3-tso7 bin5-tsiong3 kiam2-tsio3 ，
385,bin7-tui3 tsiong3-hu7 ian5-siong5 soo3 ，
386,tong1-si5 i1 tu2-ho2 khui1-king1 ，
387,tso7-sing5 tshiu2-ki1 phau3-bin7-kui1 ，
388,siang7-tua7 bun7-tsioh8 tsiann5-kue3 。
389,bin5-si7-sin1-bun5-po3-to7
390,tsiann5-tse3 ian2-khi7 sim1-thiau3 ，
391,kuann2-kin2 siong7-ue7 hoo7-tshiu2-ang3 
392,tang1-sua1-to2 ki7-hong5 si3-pah4 ，
393,hi1-bong7 gi7-uan5 khai2-sian7 un1-thang
394,loh8-tioh8 hoo7-tsuan5-e5 long5-siu1 ，
395,ping5-tsuan2-ti7 tiau5-kan1-ni5 ，
396,guan5-lai5 sim1-ong5 kap4 sim1-ui7 ，
397,tsing3-kho3 hue3-liau2 tshiunn5-lang5 。
398,bin5-si7-sin1-bun5-po3-to7
399,hun1-tsing3 phing5-long5-san3 long5-keh4
400,bi7-lai5 pian7-to7 khui1-lai5-ong2-tshia
401,ti7 bun2-kiong5 hau7-hng5 khi2-liau2 ，
402,ping3-ian2 iau2-u7 ka1-tsong1-tiau5 ，
403,tsit4-ku2 tu2-ho2 tsa2-tang1-si5-ki1 ，
404,khia7-khi2 ti7 tai5-lam5 e5 kong1-bin7 ，
405,khak4-sit8 hian2-tit4 koh4-khe1-se2 。
406,su1-ti7-ha7 ka7 sann1-bin7 piau2-ui7 ，
407,in1-ui7 siong7-ham5 e5 tsu2-kak4 ，
408,ke1-siong3-tshi7 phong3-khi2-e5 ，
409,ma7-u7 the5-kiong1 i1-liau5-tsuan1 。
410,bin5-si7-sin1-bun5-po3-to7
411,thang1-kong2-si7 tua3-lang5-e5 hoo7 。
412,put4-kuan2 si7 tang1-tsioh8 、 guan5-i1 ，
413,tshia1-kue3 tai5-tshit4-suann3-tsui2 ，
414,tsham1-u2 ng7-tiunn5-e5 tsap8-poo7 ，
415,bing5-iong7 hong5-sui2 koo2-phun2-sioo2 
416,bin5-tsiong3 ka1-ki7 khip4-sing5-pun2 。
417,in1-ui7 ti7 bun7-si3 long2-bo5-ti7 ，
418,bo5-siunn7-tioh8-put4-sing5-li7-tsai1 ，
419,tu2-tu2 tshai2-siu1-e5 thoo5-tau7 ，
420,hiong1-tng5 honn2-si7 tshiu2-pan7 ，
421,tso7-sing5 gua7-sio2 sim7-ui7 kiam2 ，
422,kiat4-ko2 ti7 bin5-ian2 tsia2-ming7 ，
423,bin5-si7-sin1-bun5-po3-to7
424,m7-na7 tsiunn7-kang5 iau1-tshiah4 ，
425,tsi2-si7 nia5-tse3 huat4-phuann3-kuan2 ，
426,tsit4-tin7 koh4-piann3-un2 「 thue5 」 ，
427,u7-ham5-ki1 siong3-i5 e5 sin1-tsai7 ，
428,tsi2-si7 tue3-tioh8 ng7-phoo2-kip8 ，
429,in1-ui7 lim5-su1 kau3-ui7 pan1-khi1 ，
430,tsing3-pan5 ka1-ki7-e5 ui7-sing1 phah4 ，
431,i2-king1 tsap8-tshit4-ni5 ho2-tsiat4 。
432,sing5-lip8 tsing3-ho7 ping5-tsia2 ，
433,tsiong3-i7 iu5-kheh4 kuan1-siong7 ，
